run_id,variant_id,model_family,model,seed,loss,lex_drop,dev_f1,dev_precision,dev_recall,threshold,dev_prob_std,dev_positive_rate_at_best_threshold,degenerate_run,degenerate_reason,include_in_ensemble,is_final_submission_candidate
b0_roberta_seed42,b0_roberta,b0_roberta,roberta,42,ce,False,0.6273458445040215,0.6724137931034483,0.5879396984924623,0.47000000000000036,0.24864769699340816,0.08313425704730053,False,,False,False
b0_roberta_seed123,b0_roberta,b0_roberta,roberta,123,ce,False,0.6020942408376964,0.6284153005464481,0.5778894472361809,0.2650000000000002,0.25526862728932476,0.08743430482560917,False,,False,False
b0_roberta_seed2024,b0_roberta,b0_roberta,roberta,2024,ce,False,0.6183574879227052,0.5953488372093023,0.6432160804020101,0.47000000000000036,0.26068570122095974,0.10272336359292882,False,,False,False
b0_roberta_seed3407,b0_roberta,b0_roberta,roberta,3407,ce,False,0.6098654708520179,0.5506072874493927,0.6834170854271356,0.10500000000000004,0.266308282344685,0.11801242236024845,False,,False,False
b0_roberta_seed777,b0_roberta,b0_roberta,roberta,777,ce,False,0.6044444444444445,0.5418326693227091,0.6834170854271356,0.19500000000000012,0.258372019309885,0.11992355470616341,False,,False,False
b1_roberta_seed42,b1_roberta,b1_roberta,roberta,42,focal,False,0.6188340807174888,0.5587044534412956,0.6934673366834171,0.6600000000000005,0.27476032070432277,0.11801242236024845,False,,False,False
b1_roberta_seed123,b1_roberta,b1_roberta,roberta,123,focal,False,0.6275510204081632,0.6373056994818653,0.6180904522613065,0.7400000000000005,0.2683342451829112,0.09221213569039656,False,,False,False
b1_roberta_seed2024,b1_roberta,b1_roberta,roberta,2024,focal,False,0.6124401913875598,0.5844748858447488,0.6432160804020101,0.6650000000000005,0.2582025863715865,0.10463449593884376,False,,False,False
b1_roberta_seed3407,b1_roberta,b1_roberta,roberta,3407,focal,False,0.6175771971496438,0.5855855855855856,0.6532663316582915,0.7050000000000005,0.2751495449539804,0.10606784519827998,False,,False,False
b1_roberta_seed777,b1_roberta,b1_roberta,roberta,777,focal,False,0.601366742596811,0.55,0.6633165829145728,0.8350000000000006,0.26335121623315333,0.11466794075489728,False,,False,False
roberta_seed42,roberta,roberta_base,roberta,42,focal,True,0.6219239373601789,0.5604838709677419,0.6984924623115578,0.6750000000000005,0.27481002129590787,0.11849020544672718,False,,True,True
roberta_seed123,roberta,roberta_base,roberta,123,focal,True,0.6210045662100456,0.5690376569037657,0.6834170854271356,0.5450000000000004,0.25655382180291475,0.11419015766841854,False,,True,True
roberta_seed2024,roberta,roberta_base,roberta,2024,focal,True,0.6170678336980305,0.5465116279069767,0.7085427135678392,0.6050000000000004,0.26521648999015746,0.12326803631151458,False,,True,True
roberta_seed3407,roberta,roberta_base,roberta,3407,focal,True,0.6134663341645885,0.6089108910891089,0.6180904522613065,0.7650000000000006,0.271211879351678,0.0965121834687052,False,,True,True
roberta_seed777,roberta,roberta_base,roberta,777,focal,True,0.6018518518518517,0.5579399141630901,0.6532663316582915,0.8500000000000006,0.26493098445828633,0.11132345914954611,False,,True,True
roberta_large_seed42,roberta_large,roberta_large,roberta_large,42,ce,False,0.5816326530612246,0.5906735751295337,0.5728643216080402,0.05,0.25898167769553493,0.09221213569039656,False,,True,True
roberta_large_seed123,roberta_large,roberta_large,roberta_large,123,ce,False,0.5944700460829493,0.548936170212766,0.6482412060301508,0.055,0.2606632444838492,0.11227902532250358,False,,True,True
roberta_large_seed2024,roberta_large,roberta_large,roberta_large,2024,ce,False,0.5808219178082192,0.6385542168674698,0.5326633165829145,0.08000000000000002,0.10966191867491232,0.07931199235547062,False,,True,True
roberta_large_seed3407,roberta_large,roberta_large,roberta_large,3407,ce,False,0.6101694915254238,0.6967741935483871,0.542713567839196,0.12500000000000006,0.23171772214846525,0.0740563784042045,False,,True,True
roberta_large_seed777,roberta_large,roberta_large,roberta_large,777,ce,False,0.6288659793814433,0.6455026455026455,0.6130653266331658,0.20500000000000013,0.26842476386198877,0.0903010033444816,False,,True,True
deberta_seed42,deberta,deberta_base,deberta,42,focal,True,0.1736474694589878,0.09507883420926899,1.0,0.05,0.00018541567201296012,1.0,True,dev_f1<0.40 (0.1736); dev_prob_std<0.01 (0.000185); positive_rate>0.60 (1.0000),True,True
deberta_seed123,deberta,deberta_base,deberta,123,focal,True,0.1736474694589878,0.09507883420926899,1.0,0.05,2.7278706380100553e-05,1.0,True,dev_f1<0.40 (0.1736); dev_prob_std<0.01 (0.000027); positive_rate>0.60 (1.0000),True,True
deberta_seed2024,deberta,deberta_base,deberta,2024,focal,True,0.17587273530711445,0.09641472868217055,1.0,0.6450000000000005,2.6137753498587493e-05,0.9861442904921166,True,dev_f1<0.40 (0.1759); dev_prob_std<0.01 (0.000026); positive_rate>0.60 (0.9861),True,True
deberta_seed3407,deberta,deberta_base,deberta,3407,focal,True,0.1736474694589878,0.09507883420926899,1.0,0.05,2.962810991401504e-05,1.0,True,dev_f1<0.40 (0.1736); dev_prob_std<0.01 (0.000030); positive_rate>0.60 (1.0000),True,True
deberta_seed777,deberta,deberta_base,deberta,777,focal,True,0.1736474694589878,0.09507883420926899,1.0,0.05,2.220446049250313e-16,1.0,True,dev_f1<0.40 (0.1736); dev_prob_std<0.01 (0.000000); positive_rate>0.60 (1.0000),True,True
